Date,Open,High,Low,Close,Volume
5-Aug-24,6.7,7.44,6.4,7.31,7.31,"3,273,400"
2-Aug-24,8,8.15,7.11,7.36,7.36,"3,249,000"
1-Aug-24,9.09,9.14,8.1,8.31,8.31,"2,523,400"
31-Jul-24,9.5,9.57,9.03,9.08,9.08,"2,425,100"
30-Jul-24,9.51,9.78,9.02,9.08,9.08,"1,734,600"
29-Jul-24,10.29,10.35,9.54,9.6,9.6,"758,300"
26-Jul-24,9.99,10.52,9.68,9.87,9.87,"1,263,700"
25-Jul-24,9.68,10.13,9.13,9.65,9.65,"1,416,900"
24-Jul-24,10.95,11.08,9.8,9.88,9.88,"1,920,700"
23-Jul-24,11.49,11.93,10.89,10.9,10.9,"2,017,100"
22-Jul-24,11.19,11.88,10.53,11.8,11.8,"2,015,100"
19-Jul-24,9.44,11.07,9.2,10.98,10.98,"3,138,100"
18-Jul-24,10.6,10.6,9.34,9.43,9.43,"2,353,600"
17-Jul-24,10.94,11.45,10.17,10.32,10.32,"3,036,600"
16-Jul-24,11.28,11.73,10.97,11.18,11.18,"2,560,200"
15-Jul-24,11.13,11.67,11.02,11.48,11.48,"2,809,800"
12-Jul-24,10.19,10.77,9.8,10.57,10.57,"2,098,000"
11-Jul-24,11.37,11.46,9.83,10.17,10.17,"4,538,500"
10-Jul-24,11.6,11.6,10.71,10.91,10.91,"1,736,400"
9-Jul-24,12.42,12.85,11.06,11.21,11.21,"3,338,400"
8-Jul-24,11.8,12.85,11.8,12.42,12.42,"4,339,400"
5-Jul-24,10.9,11.64,10.45,11.54,11.54,"3,143,600"
3-Jul-24,11.22,11.85,10.71,11.83,11.83,"3,685,400"
2-Jul-24,10.86,11.64,10.41,11.61,11.61,"4,348,100"
1-Jul-24,10.4,11.14,9.82,10.59,10.59,"3,386,600"
28-Jun-24,10.23,11.09,10.1,10.26,10.26,"4,985,300"
27-Jun-24,9.56,10.69,9.35,9.78,9.78,"4,375,300"
26-Jun-24,9.9,10.98,9.03,9.25,9.25,"5,258,100"
25-Jun-24,9.5,10.06,9.2,10.03,10.03,"4,896,800"
24-Jun-24,9.29,9.95,8.92,9.2,9.2,"1,823,400"
21-Jun-24,9.18,9.8,8.68,9.51,9.51,"3,257,200"
20-Jun-24,8.99,10.11,8.99,9.86,9.86,"2,673,500"
18-Jun-24,8.93,9.33,8.66,9.08,9.08,"1,624,100"
17-Jun-24,9.61,9.74,8.29,9.38,9.38,"2,755,500"
14-Jun-24,9.88,9.95,8.9,9.95,9.95,"2,278,600"
13-Jun-24,8.18,10.1,8.18,9.85,9.85,"4,309,400"
12-Jun-24,7.91,8.54,7.65,8.16,8.16,"2,602,600"
11-Jun-24,7.09,7.56,6.75,7.54,7.54,"1,033,200"
10-Jun-24,6.97,7.42,6.96,7.29,7.29,"744,700"
7-Jun-24,7.44,7.68,7.04,7.3,7.3,"1,016,200"
6-Jun-24,7.09,7.49,6.93,7.32,7.32,"1,309,800"
5-Jun-24,7.27,7.4,6.82,7.01,7.01,"1,086,800"
4-Jun-24,6.4,7.17,6.35,7.15,7.15,"1,817,100"
3-Jun-24,6.1,6.54,5.95,6.34,6.34,"873,700"
31-May-24,6.44,6.75,6.06,6.13,6.13,"1,294,400"
30-May-24,5.98,6.08,5.78,5.82,5.82,"311,000"
29-May-24,6.08,6.14,5.89,5.98,5.98,"212,300"
28-May-24,6.05,6.19,5.92,6.11,6.11,"437,800"
24-May-24,5.65,6.06,5.61,6.06,6.06,"303,000"
23-May-24,5.94,5.94,5.62,5.63,5.63,"254,500"
22-May-24,5.9,6.36,5.81,5.9,5.9,"678,500"
21-May-24,5.95,6.17,5.86,5.91,5.91,"514,000"
20-May-24,5.66,6.08,5.59,6.03,6.03,"487,000"
17-May-24,5.88,6.03,5.61,5.71,5.71,"396,900"
16-May-24,5.67,6.13,5.67,5.86,5.86,"620,500"
15-May-24,5.5,5.68,5.28,5.66,5.66,"680,100"
